P4_4	PPP - Contratto EPC. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P4_5	PPP - Concessione di servizi e costruzione e gestione. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P4_6	PPP - Contratti di partenariato sociale. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P5	Contratti esclusi o estranei, soggetti a sola tracciabilità. L. 136/2010 e determina n.4/201 aggiornata con delibera n. 585 del 19 dicembre 2023 ( solo per i contratti estranei al Codice e che acquisiscono il CIG solo a fini della tracciabilità) delibera ANAC n. 584 del 19 dicembre 2023 (solo per contratti e concorsi di progettazione esclusi non soggetti a contributo ANAC).
P6_1	Concessioni - Acquisizione del CIG figlio per adesione AQ/convenzione, con successivo confronto competitivo (solo per concessioni affidate con accordi quadro/convenzioni il cui bando è stato pubblicato entro il 31/12/2023.
P6_2	Appalti - Acquisizione del CIG figlio per adesione AQ/convenzione con successivo confronto competitivo (solo per appalti affidati con accordi quadro/convenzioni il cui bando è stato pubblicato entro il 31/12/2023). Articolo 59 comma 4 lettere b) e c) decreto legislativo 36/2023; Articolo 154 decreto legislativo 36/2023 Articolo 127 decreto legislativo 36/2023, Articolo 128 comma 6 decreto legislativo 36/2023.
P7_1_1	Procedura negoziata senza bando pari o sopra soglia. Articolo 76 decreto legislativo 36/2023; Articolo 158 decreto legislativo 36/2023; Articolo 18 decreto legislativo 208/2011; Articolo 127 decreto legislativo 36/2023; Articolo 128 decreto legislativo 36/2023; Artcolo 182 commi 7,8,9 decreto legislativo 36//2023.
P7_1_2	Procedura negoziata senza bando pari o sopra soglia. Articolo 76 decreto legislativo 36/2023; Articolo 158 decreto legislativo 36/2023; Articolo 18 decreto legislativo 208/2011; Articolo 127 decreto legislativo 36/2023; Articolo 128 decreto legislativo 36/2023.
P7_1_3	Procedura negoziata senza bando sottosoglia. Articolo 50 comma 1 lettere c) d) e) decreto legislativo 36/2023; Articolo 2 Allegato II.1; Articolo 50 comma 5 decreto legislativo 36/2023 e Libro III decreto legislativo 36/2023; Articolo 31 decreto legislativo 208/2011; Articolo 187 decreto legislativo 36/2023; Articolo 127 decreto legislativo 36/2023; Articolo 128 comma 8 decreto legislativo 36/2023.
P7_2	Procedura negoziata senza bando; Procedura per appalti specifici in uno SDA. Articolo 76 decreto legislativo 36/2023; Articolo 32 comma 2 decreto legislativo 36/2023; Articolo 50 comma 1 lettere c) d) e) decreto legislativo 36/2023; Articolo 2 Allegato II.1; Articolo 50 comma 5 decreto legislativo 36/2023 e Libro III decreto legislativo 36/2023; Articolo 31 decreto legislativo 208/2011; Articolo 127 decreto legislativo 36/2023; Articolo 128 comma 8 decreto legislativo 36/2023.
P7_3	Avviso per la costituzione elenco. Articolo 50 comma 1 lettere c) d) e) decreto legislativo 36/2023; Articolo 3 Allegato II.1; Articolo 31 decreto legislativo 208/2011.
P8	Procedure negoziate senza bando o adesioni ad AQ soprasoglia.
PL1_1	Avviso di pubblicazione di un avviso di preinformazione relativo al profilo di committente — direttiva generale. Articolo 48, paragrafo 1, della direttiva 2014/24/UE; Articolo 81 comma 1 decreto legislativo 36/2023.
PL1_2	Avviso di pubblicazione di un avviso periodico indicativo relativo al profilo di committente — direttiva settoriale. Articolo 67, paragrafo 1, della direttiva 2014/25/UE; Articolo 161 comma 1 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023.
PL1_3	Avviso di pubblicazione di un avviso di preinformazione relativo al profilo di committente — direttiva per il settore della difesa. Articolo 30, paragrafo 1, terzo comma, della direttiva 2009/81/CE; Articolo 21 decreto legislativo 208/2011; Articolo 81 comma 1 decreto legislativo 36/2023.
PL1_4	Avviso di preinformazione a fini unicamente informativi — direttiva generale. Articolo 48, paragrafo 1, della direttiva 2014/24/UE; Articolo 81 comma 1 decreto legislativo 36/2023.
PL1_5	Avviso periodico indicativo a fini unicamente informativi — direttiva settoriale. Articolo 67, paragrafo 1, della direttiva 2014/25/UE; Articolo 161 comma 1 decreto legislativo 36/2023.
PL1_6	Avviso di preinformazione a fini unicamente informativi — direttiva per il settore della difesa. Articolo 30, paragrafo 1, della direttiva 2009/81/CE escluso/difesa; Articolo 21 decreto legislativo 208/2011; Articolo 81 comma 1 decreto legislativo 36/2023.
PL1_7	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — direttiva generale. Articolo 27, paragrafo 2, della direttiva 2014/24/UE; Articolo 28, paragrafo 3, della direttiva 2014/24/UE; Articolo 81 comma 1 decretolegislativo 36/2023.
PL1_8	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — direttiva settoriale. Articolo 45, paragrafo 2, della direttiva 2014/25/UE; Articolo 153 decreto legislativo 36/2023; Articolo 161 comma 2 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023.
PL1_9	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — direttiva per il settore della difesa. Articolo 33, paragrafo 3, della direttiva 2009/81/CE; Articolo 21 comma 4 decretolegislativo 208/2011; Articolo 81 comma 1 decreto legislativo 36/2023.
PL2_1	Avviso di pubblicazione di un avviso di preinformazione relativo al profilo di committente — settori ordinari. Articolo 50 decreto legislativo 36/2023; Articolo 81 comma 1 decreto legislativo 36/2023.
PL2_2	Avviso di pubblicazione di un avviso periodico indicativo relativo al profilo di committente — settori speciali. Articolo 50 decreto legislativo 36/2023; Articolo 50 comma 5 decreto legislativo 36/2023.
PL2_3	Avviso di pubblicazione di un avviso di preinformazione relativo al profilo di committente — direttiva per il settore della difesa. Articolo 31 decreto legislativo 208/2011; Articolo 50 decreto legislativo 36/2023; Articolo 81 comma 1 decreto legislativo 36/2023.
PL2_7	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — settori ordinari. Articolo 50 comma 1 lett. d) decreto legislativo 36/2023; Articolo 81 comma 1 decreto legislativo 36/2023.
PL2_8	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — settori speciali. Articolo 50 decreto legislativo 36/2023; Articolo 50 comma 5 decreto legislativo 36/2023.
PL2_9	Avviso di preinformazione utilizzato per abbreviare i termini per la ricezione delle offerte — settore della difesa. Articolo 31 decreto legislativo 208/2011; Articolo 50 comma 1 lett. d) decreto legislativo 36/2023; Articolo 81 comma 1 decreto legislativo 36/2023.
RI1	Ripresa Prestazione. Articolo 121 decreto legislativo 36/2023.
RSU1	Comunicazione richiesta di subappalto per qualunque procedura. Articolo 119 decreto legislativo 36/2023.
S0	Elenco richieste di adesione SDA. Articolo 32 comma 7 decreto legislativo 36/2023.
S1	Elenco dei soggetti che hanno manifestato interesse nelle procedure a due fasi.
S1_2	Elenco dei soggetti invitati.
S2	Elenco offerte ricevute/OE invitati.
S2R	Rettifica/Integrazione scheda S2.
S3	Elenco dei soggetti incaricati della progettazione.
S4	Variazione Aggiudicatari/Costituzione della società di scopo.
SA1	Stato Avanzamento lavori per qualunque procedura.
SC1	Sottoscrizione del contratto.
SE	Elenco richieste di adesione all'elenco fornitori.
SO1	Sospensione in fase di esecuzione per qualunque procedura. Articolo 121 decreto legislativo 36/2023.
SOC	Scheda di richiesta subappalto per gli Organi Costituzionali.
SQ1	Superamento del quarto del tempo contrattuale. Articolo 121 decreto legislativo 36/2023.
TVR	Comunicazione di Termine Verifiche Requisiti FVOE.
